,potential
546,88.0
547,81.0
548,83.0
549,81.0
550,83.0
551,83.0
552,83.0
553,85.0
554,82.0
555,82.0
556,82.0
557,81.0
558,81.0
559,81.0
560,84.0
561,83.0
